469937,Wrap Around Patio With City Lights & Mountain View,33.791858,-118.161654,"Signal Hill, CA, USA",15,4.9,96,,,,195,,30,3,1,1,condo,Yes,2013,Within 12 hours,100%,"June 7, 2017",condo,2,750,state,building,Long Beach
3884964ha,"4BR HOUSE w Hot Tub, Pool Table --- Best furnished monthly house rental in RB!",,,"South Redondo, Redondo Beach, CA, USA",10,4.8,202,,,,175,,30,11,4,2,house,Yes,2014,Within 12 hours,100%,"February 16, 2017",house,,2056,11,,Long Beach,CA
4575218ha,Surf City Elegant Relaxation at the Beach,,,"Huntington Beach, CA, USA",0,,550,475,,,250,,5,7,3,2,house,No,2002,Within a day,100%,"June 5, 2017",house,,,,,Long Beach,CA
1049307,"Contemporary Condo, with View of Fireworks From Patio! – 3 Minutes to Disney",33.80315257,-117.93394546,"Southwest Anaheim, Anaheim, CA, USA",0,,259,,,,,,3,9,3,2,condo,Yes,2006,Within an hour,,"June 9, 2017",condo,,,9,,Long Beach,CA
419261,Tranquil Koi Pond and Ocean Views- New bathroom!,33.8600459,-118.389757,"North Redondo, Redondo Beach, CA, USA",16,4.8,250,,,,150,,30,6,3,2,house,No,2012,Within a few hours,100%,"April 20, 2017",house,,2100,6,,Long Beach,CA
1069180,Torrance - Beach Close Quiet Retreat,,,"Redondo Beach, CA, USA",0,,129,129,,,80,8.75%,4,2,1,1,apartment,No,2011,,,"June 3, 2017",apartment,,,,,Long Beach,CA
4532214ha,"Private bed/bath Near LAX Airport, College and Beaches",,,"Gardena, CA, USA",0,,58,58,,,15,,,2,1,1,house,Yes,2017,,,"May 30, 2017",house,,,,,Long Beach,CA
4480062ha,NEW! 4BR Anaheim House Only 8 Mins to Disneyland!,33.80568,-117.94025,"Hermosa Village, Anaheim, CA, USA",1,,321,,,,,,3,11,4,2,house,Yes,1999,Within an hour,,"June 9, 2017",house,,2300,11,,Long Beach,CA
963415,A LARGE ROOM  LIVING SHARING .,,,"Westminster, CA, USA",0,,90,90,,,45,,4,1,Studio,1,house,Yes,2015,,,"June 7, 2017",house,,1,,,Long Beach,CA
4519725ha,SINGLE HAPPINESS QUEENBED,33.88348467,-118.28312377,"Harbor Gateway North, Los Angeles, CA, USA",0,,50,50,,,10,,,2,1,1,bed & breakfast,No,2017,,,"May 29, 2017",bed & breakfast,,,,,Long Beach,CA
1055353,Modern Beach Bungalow Walking Distance To Beach,,,"South Redondo, Redondo Beach, CA, USA",0,,199,199,,,150,9.0%,29,7,4,2,house,Yes,2017,,,"April 19, 2017",house,,,,,Long Beach,CA
7040153ha,On the sand in Huntington Bch whitewater views in all rooms,33.658897,-118.00545,"Huntington Beach, CA, USA",0,,429,,,,200,,28,9,3,2,condo,No,2008,,,"May 25, 2017",condo,,,9,,Long Beach,CA
3949762ha,"Serene 3 bedr, 2 ba midcentury house suroundded by a stunning Garden, 1 M beach",33.681612,-118.008371,"Huntington Beach, CA, USA",0,,181,,,,,10.0%,30,4,3,2,house,Yes,2015,,,"April 28, 2017",house,,2000,4,,Long Beach,CA
4306418ha,Spectacular View Villa,,,"Palos Verdes Estates, CA, USA",0,,600,,,,300,,31,8,6,7,villa,Yes,2011,Within a few days,80%,"December 16, 2016",villa,,6200,8,,Long Beach,CA
711810,"Large Ocean View Home,  walk to the beach, restaurants/bars, supermarket, bus.",,,"North Redondo, Redondo Beach, CA, USA",9,4.3,314,,665,,,9.0%,30,10,5,2,house,Yes,2015,Within a few days,80%,"June 4, 2017",house,,2950,10,,Long Beach,CA
1018646,Special Price * 7 Min To Disneyland & Convention * Safe Quiet Area & Entire Home,33.805676,-117.94025,"Hermosa Village, Anaheim, CA, USA",0,,270,265,365,,200,15.0%,3,11,4,2,house,Yes,2017,Within a few hours,100%,"June 1, 2017",house,,2300,,,Long Beach,CA
1067750,Huntington Beach Family Home,33.683947,-118.010947,"Huntington Beach, CA, USA",0,,500,500,,,,,30,8,4,3,house,Yes,2017,,,"May 15, 2017",house,,3800,,,Long Beach,CA
894706,Beach Bungalow in the Heart of Surf City,33.664693,-117.999503,"Huntington Beach, CA, USA",1,,451,,,,,,30,11,5,3,house,Yes,2016,Within a day,90%,"September 20, 2016",house,,,11,,Long Beach,CA
388695,Serene and Large 3bd 2BA Midcentury Modern Home,33.68162537,-118.00837708,"Huntington Beach, CA, USA",0,,178,,,,,10.0%,31,4,3,2,house,Yes,2011,,,"April 28, 2017",house,,2000,4,,Long Beach,CA
283431,"Available May 15!  Palos Verdes View House!  Euro-Country Style, Lovely, Cozy",,,"Rancho Palos Verdes, CA, USA",8,,233,,,,,,30,6,3,2,house,Yes,2007,Within 12 hours,90%,"May 30, 2017",house,,1650,6,,Long Beach,CA
751409,"3 Blocks from the Ocean, 1 mile from the Hermosa & Manhattan Beach Piers",33.8760817,-118.4018779,"Hill Section, Manhattan Beach, CA, USA",6,,155,,,,,,30,4,2,1,house,Yes,2015,Within a day,90%,"April 10, 2017",house,,1044,4,,Long Beach,CA
499628,Extended Stay Rental & Pricing - Snowbirds Welcome All Year Long!,33.659625,-118.000169,"Huntington Beach, CA, USA",0,,183,,,,,,90,6,2,2,townhome,Yes,2014,Within a few days,70%,"July 5, 2016",townhome,2,1600,6,villa,Long Beach,CA
477935,ENJOY BEACH LIFE DAY & NIGHT,33.884192,-118.4084897,"Sand Section, Manhattan Beach, CA, USA",2,,550,550,,,200,,30,6,3,2,house,Yes,2013,Within 12 hours,100%,"May 23, 2017",house,,2000,6,,Long Beach,CA
1048721,"Stylish Family Home, Short Drive from Beach, Disneyland, & Little Saigon",33.7074127,-117.9536307,"Downtown Village, Fountain Valley, CA, USA",3,2.3,284,,,,,,2,10,3,2,house,Yes,2006,Within an hour,,"June 9, 2017",house,,1841,10,,Long Beach,CA
612438,Beach Living At Its Best,33.86053,-118.3972418,"Hermosa Beach, CA, USA",1,,217,,,,300,,30,4,2,2,townhome,Yes,2014,Within a day,100%,"May 31, 2017",townhome,,,4,,Long Beach,CA
4318312ha,Luxurious Modern studio on the beach unit #105,33.8612042,-118.4002666,"Hermosa Beach, CA, USA",0,,200,200,,,150,,3,2,1,1,studio,Yes,2016,,,"June 6, 2017",studio,2,700,2,building,Long Beach,CA
837015,"Incredible, Luxury, Family-friendly, South MB Walk Street Home 4 Blocks to Beach",33.8821264,-118.404697,"Sand Section, Manhattan Beach, CA, USA",1,,,1,,,,,30,8,4,3,house,Yes,2016,Within an hour,90%,"May 18, 2017",house,,4200,8,,Long Beach,CA
4502003ha,Beautiful Ocean Front Unit in South Redondo Beach,33.8351344,-118.3896259,"South Redondo, Redondo Beach, CA, USA",0,,180,180,,,120,,30,2,1,1,condo,Yes,2017,,,"June 5, 2017",condo,7,1050,,building,Long Beach,CA
474003,Beachfront House Manhattan Beach NEWLY RENOVATED KITCHEN,33.8861647,-118.4124844,"Sand Section, Manhattan Beach, CA, USA",11,,,,,,,10.0%,7,6,3,3,house,Yes,2013,Within a day,100%,"June 5, 2017",house,,1600,6,,Long Beach,CA
4589023ha,Whitewater Ocean View And Sunsets Too!,,,"Huntington Beach, CA, USA",0,,541,425,,,250,,5,7,3,3,house,No,2002,,,"June 6, 2017",house,,,,,Long Beach,CA
800958,Renovated Two Bedroom In Hermosa Beach - 30 Night Minimum,,,"Hermosa Beach, CA, USA",2,,132,,,,,,30,4,2,1,apartment,Yes,2016,Within a few hours,100%,"June 5, 2017",apartment,1,800,4,house,Long Beach,CA
1045459,Fully furnished apartment just 2 blocks from the beach,,,"Huntington Beach, CA, USA",0,,172,,,,150,8.0%,30,4,1,1,apartment,No,2017,,,"April 3, 2017",apartment,,,,,Long Beach,CA
322704,Large Walk Street Home,33.86511612,-118.4022522,"Hermosa Beach, CA, USA",1,,665,,,,250,,30,8,4,2,house,No,2010,Within a few days,80%,"May 12, 2017",house,,3500,8,,Long Beach,CA
178171,"Sand Section Studio in Manhattan Beach, ½ Block to the Sand, South End, PARKING!",33.87932205,-118.40750885,"Sand Section, Manhattan Beach, CA, USA",42,,281,270,,,100,,3,2,Studio,1,studio,Yes,2008,Within 12 hours,100%,"June 7, 2017",studio,1,700,2,house,Long Beach,CA
1052998,Hermosa Beach Home In Hill Section Complete With Stunning Ocean Views,,,"Hermosa Beach, CA, USA",0,,333,,,,325,8.75%,30,8,4,,house,Yes,2006,Within a few hours,100%,"June 8, 2017",house,,2700,,,Long Beach,CA
873904,Disneyland-Cozy 3B House,,,"Southwest Anaheim, Anaheim, CA, USA",5,,333,,,,,,2,8,3,2,townhome,Yes,2016,Within an hour,,"June 8, 2017",townhome,3,,8,,Long Beach,CA
592815,Comfortable Beach Living with Inviting Ocean Views!,33.8909583,-118.4142606,"Sand Section, Manhattan Beach, CA, USA",5,,857,725,,,200,8.5%,5,8,3,3,townhome,Yes,2012,Within a few days,80%,"June 5, 2017",townhome,,1950,8,,Long Beach,CA
630222,Luxury Hermosa Rental,33.867539,-118.397379,"Hermosa Beach, CA, USA",11,4.9,90,,,,75,,30,4,1,1,house,Yes,2014,Within a few days,100%,"May 21, 2017",house,,800,4,,Long Beach,CA
4246653ha,"Spacious, Elegant Home just a Few minutes from Hermosa, Manhattan and Redondo",33.8739896,-118.3697164,"North Redondo, Redondo Beach, CA, USA",0,,,,,,200,,180,10,3,2,townhome,Yes,2016,Within a few days,40%,"August 8, 2016",townhome,,,,,Long Beach,CA
97158,Location! Location! Location! Awesome 4-Bdr Beach House!,,,"Huntington Beach, CA, USA",11,4.6,700,,,,300,,30,10,4,4,house,Yes,2006,Within a few hours,100%,"June 6, 2017",house,,,,,Long Beach,CA
1779233ha,"Contemporary house for rent, near the beaches of Huntington Beach, California",33.681612,-118.008371,"Huntington Beach, CA, USA",0,,212,,,,,,31,4,3,2,house,Yes,2015,,,"April 28, 2017",house,,2000,4,,Long Beach,CA
993285,Modern townhouse for Knott berry Farm / Disneyland,,,"Buena Park, CA, USA",0,,185,185,,,,,3,4,2,2,condo,No,2014,,,"January 23, 2017",condo,,,,,Long Beach,CA
3905377ha,"2BR Condo 1 Mile From Disneyland w/ Resort Pool, Mini Golf & WiFi",33.796386,-117.913707,"Anaheim Resort, Anaheim, CA, USA",3,4.3,238,,,,,,1,6,2,1,hotel,Yes,2014,Within an hour,,"June 9, 2017",hotel,,954,6,,Long Beach,CA
389679,Ocean View Villa for the perfect zen feel.,33.87765121,-118.3979187,"Hill Section, Manhattan Beach, CA, USA",12,4.7,540,,,,,,30,8,5,4,villa,Yes,2008,,,"May 13, 2017",villa,,4328,8,,Long Beach,CA
237338ha,Cozy Beach Bungalow on Walkstreet - Steps to the Beach,33.867627,-118.402763,"Hermosa Beach, CA, USA",22,,456,,,,,,30,6,3,1,house,Yes,2009,,,"March 17, 2017",house,,2000,6,,Long Beach,CA
566160,Designer 6-Bedroom South MB Walk Street Home Three blocks to Downtown & Beach,33.883849,-118.4073208,"Sand Section, Manhattan Beach, CA, USA",0,,,1,,,,,30,8,6,5,house,Yes,2014,Within a few hours,100%,"May 18, 2017",house,,3800,8,,Long Beach,CA
3937967ha,"Beautiful T.House, 3 rooms & 2 ½ Bath, Fully furnished & a B. yard near Beach",33.872137,-118.373192,"North Redondo, Redondo Beach, CA, USA",0,,167,,,,120,,30,5,2,3,townhome,No,2014,Within a few days,80%,"May 12, 2017",townhome,,2000,5,,Long Beach,CA
421165,Beautiful Family Beach House with Ocean View,33.861883,-118.397232,"Hermosa Beach, CA, USA",13,4.9,533,,,,200,,30,9,3,3,townhome,Yes,2011,Within a few days,80%,"May 30, 2017",townhome,,2000,9,,Long Beach,CA
887692,Showcase Large Manhattan Beach Home with Plunge Pool and Media Room/Bar,33.8964134,-118.405408,"Tree Section (Manhattan Beach, CA, USA)",0,,850,,,,500,,30,8,4,5,house,Yes,2006,Within a few hours,80%,"June 8, 2017",house,,4000,,,Long Beach,CA
7071192ha,2 blocks 2  Beach Beautiful Condo with Pool,33.857465,-118.396473,"Hermosa Beach, CA, USA",0,,220,220,,,60,,30,8,2,2,condo,Yes,2010,Within a day,90%,"May 6, 2017",condo,,,8,,Long Beach,CA
632730,"Walk to Disneyland, Anaheim Convention Center! Winter Specials. Call for details",,,"Hermosa Village, Anaheim, CA, USA",34,,257,250,275,,250,,31,9,3,2,house,Yes,2014,Within 12 hours,100%,"May 3, 2017",house,,1800,9,,Long Beach,CA
4538186ha,"Charming Villa with Ocean View Walking Distance to the Beach, Fireplace + Parking",33.810597,-118.390326,"Redondo Beach, CA, USA",2,,,,,,,,4,8,4,4,villa,Yes,2010,Within an hour,,"June 9, 2017",villa,,,8,,Long Beach,CA
4564685ha,Adorable Beach Getaway in Huntington Beach,33.6696499,-118.0085652,"Huntington Beach, CA, USA",0,,164,95,,,120,,5,4,1,1,guest house,Yes,2017,,,"June 7, 2017",guest house,,650,,,Long Beach,CA
498937,"Oceanfront Amazing Ocean Views, July & August Available",33.8659949,-118.4029296,"Hermosa Beach, CA, USA",0,,555,,,,,,30,8,2,1,apartment,Yes,2004,Within 12 hours,100%,"May 27, 2017",apartment,1,1400,,building,Long Beach,CA
194374,Hermosa Beach Lion Den,,,"Hermosa Beach, CA, USA",3,,,,,,350,,30,12,5,4,house,Yes,2008,Within a few days,40%,"April 19, 2017",house,,,12,,Long Beach,CA
149501,Two Bedroom Strand Apt. with A/C and Rooftop Deck,,,"Hermosa Beach, CA, USA",30,4.9,315,,,,150,,30,5,2,1,condo,Yes,2007,Within a few hours,100%,"June 4, 2017",condo,,,5,,Long Beach,CA
4457294ha,True Homeaway from Home at the Blue Waters,33.8669189,-118.400839,"Hermosa Beach, CA, USA",0,,250,250,,,200,,30,6,2,2,house,Yes,2017,Within a few days,80%,"May 21, 2017",house,,1650,,,Long Beach,CA
1033508,Stunning Townhome in the heart of Hermosa Beach! Walk to everything!,33.86062869,-118.39740722,"Hermosa Beach, CA, USA",0,,445,300,,,300,,30,8,3,3,townhome,Yes,2011,Within a few days,66%,"June 6, 2017",townhome,,2100,8,,Long Beach,CA
572320,"Private patio home inquiet, gated townhome, patio, pool, hot tub and MONTHLY RAT",33.6561639,-117.983295,"Huntington Beach, CA, USA",3,4.7,134,130,,,200,,28,4,2,2,townhome,Yes,2013,Within 12 hours,90%,"May 22, 2017",townhome,1,1100,4,,Long Beach,CA
998158,Beautiful Mediterranean house in the Heart of Downtown Huntington Beach,,,"Huntington Beach, CA, USA",0,,600,,,,200,7.75%,5,5,2,2,house,No,2017,,,"January 14, 2017",house,,,,,Long Beach,CA
792858,LOCATION * LOCATION * LOCATION - Reserve now for 2017,33.65800943,-118.00492435,"Huntington Beach, CA, USA",0,,,,,,150,,30,6,1,2,condo,Yes,2015,Within 12 hours,90%,"September 29, 2016",condo,1,850,6,building,Long Beach,CA
4472306ha,"Charming Villa with Ocean View Walking Distance to the Beach, Fireplace + Parking",33.810597,-118.390326,"Redondo Beach, CA, USA",2,,,,,,,,4,10,4,4,villa,Yes,2010,Within an hour,,"June 9, 2017",villa,,,10,,Long Beach,CA
1021307,HUNTINGTON BEACH PRIVATE BEDROOM FOR 2 (+) PRIVATE BATHROOM WITHIN VIEW CONDO,33.659291,-117.997764,"Huntington Beach, CA, USA",0,,150,110,,,200,,14,2,1,1,condo,No,2017,Within 12 hours,90%,"February 20, 2017",condo,2,,,,Long Beach,CA
343885,Designer  Home Featured in Coastal Living Magazine,,,"Hermosa Beach, CA, USA",1,,486,,,,,,30,8,4,2,house,Yes,2011,Within a few days,40%,"October 27, 2016",house,,1800,8,,Long Beach,CA
903713,Minutes From Manhattan Beach! Modern Villa With Great Patios and Outdoor Sofas,33.8880187,-118.4101243,"Tree Section (Manhattan Beach, CA, USA)",1,,,,,,,,3,6,3,3,house,Yes,2010,Within an hour,,"June 9, 2017",house,,,6,,Long Beach,CA
1035837,Spacious Hawthorne Home – Newly Remodeled,33.925748,-118.363892,"Hawthorne, CA, USA",0,,226,,,,,,2,8,3,2,house,Yes,2006,Within an hour,,"June 9, 2017",house,,1372,8,,Long Beach,CA
1037545,Extremely popular Beach House walk to sand.,,,"Huntington Beach, CA, USA",0,,462,495,,,200,10.0%,5,8,3,2,house,Yes,2016,Within 2 days,100%,"June 1, 2017",house,,,8,,Long Beach,CA
721069,Downtown Beach Living at its Best!,33.8864838,-118.4076242,"Hill Section, Manhattan Beach, CA, USA",9,,330,,,,,10.0%,30,6,3,2,house,Yes,2015,Within an hour,100%,"March 15, 2017",house,,3300,6,,Long Beach,CA
3931115ha,Beachfront Huntington Beach Luxury Villa offers an elevator and gourmet kitchen,33.66783,-118.016076,"Huntington Beach, CA, USA",2,,,,,,,,5,6,3,4,villa,Yes,2010,Within an hour,,"June 9, 2017",villa,,,6,,Long Beach,CA
4297542ha,Modern South Bay Townhouse- 2 blocks from the beach,,,"South Redondo, Redondo Beach, CA, USA",1,,,1,,,400,14.0%,,6,3,5,townhome,No,2016,Within a few days,10%,"September 26, 2016",townhome,,2976,,building,Long Beach,CA
4477999ha,Private Home Close To The Beach,,,"Huntington Beach, CA, USA",0,,147,,,,100,,30,4,3,2,house,No,2017,Within a few days,70%,"April 9, 2017",house,,,,,Long Beach,CA
1045326,"Disneyland Home, 4 bedroom, 2 Bathroom, Close to Everything, Sleeps 11",33.799196,-117.967294,"Southwest Anaheim, Anaheim, CA, USA",0,,350,350,,,120,8.5%,2,10,4,2,house,Yes,2017,,,"June 5, 2017",house,,1600,,,Long Beach,CA
995160,CLOSE TO BEACH AND PARKS AND THE FAMOUS SURF CITY MAIN STREET,,,"Yorktown, Huntington Beach, CA, USA",0,,200,200,,,,8.0%,3,4,2,2,house,Yes,2017,,,"February 19, 2017",house,,,4,,Long Beach,CA
1011810,"Luxury Ocean Front Home, Stunning Amenities And Walking Distance To Pacific City",33.65666709,-117.99136124,"Huntington Beach, CA, USA",0,,400,400,,,,,30,4,2,2,apartment,Yes,2017,,,"February 27, 2017",apartment,2,1266,4,building,Long Beach,CA
694449,Manhattan Beach -sail into July and August,33.9018811,-118.4186031,"El Porto, Manhattan Beach, CA, USA",11,,359,285,,,,,7,4,2,2,apartment,Yes,2015,Within an hour,100%,"May 29, 2017",apartment,2,900,4,building,Long Beach,CA
794183,"650 Sq. Ft. Studio with Large Patio, Fully Furnished Executive Suite",33.66816156,-117.987756,"Huntington Beach, CA, USA",0,,93,,,,,,31,2,1,1,condo,Yes,2015,Within a few days,70%,"March 11, 2017",condo,1,750,2,building,Long Beach,CA
4500950ha,BEAUTIFUL LARGE FAMILY BEACH HOUSE,,,"Hermosa Beach, CA, USA",0,,595,595,,,250,9.0%,30,7,4,3,house,Yes,2017,,,"May 20, 2017",house,,3500,,,Long Beach,CA
996962,Brand New 2 Bedroom Luxury Beach Apartment!,33.6563456,-117.9971119,"Huntington Beach, CA, USA",0,,325,325,,,,,31,5,2,2,apartment,Yes,2017,Within a few days,20%,"February 27, 2017",apartment,1,1291,5,building,Long Beach,CA
4564303ha,"15% OFF OPEN JUNE - Great Family House - Walk to Beach, Restaurants, Shops.",33.62957,-117.953287,"Newport Shores, Newport Beach, CA, USA",0,,345,,,,,,3,8,3,2,condo,Yes,2005,Within an hour,,"June 9, 2017",condo,,,8,,Long Beach,CA
1011789,"Luxury Ocean Front Home, Stunning Amenities And Walking Distance To Pacific City",33.65638132,-117.99713336,"Huntington Beach, CA, USA",0,,400,400,,,,,30,5,2,2,apartment,Yes,2017,,,"February 27, 2017",apartment,1,1266,5,building,Long Beach,CA
713310,"Magnificent contemporary walk street home 2 min to sand, stunning ocean views",33.899115,-118.417475,"Sand Section, Manhattan Beach, CA, USA",0,,,,,,450,,30,10,5,4,house,Yes,2006,Within a few days,80%,"June 8, 2017",house,,4200,,,Long Beach,CA
873940,Comfortable 2B place like home,,,"Platinum Triangle, Anaheim, CA, USA",1,,,,,,,,4,4,2,2,apartment,Yes,2016,Within an hour,,"April 4, 2017",apartment,,,4,,Long Beach,CA
3905380ha,"Anaheim, CA: 2 Bedroom Suite Steps Away From Disneyland w/Resort Pool & WiFi",33.804801,-117.907295,"Anaheim Resort, Anaheim, CA, USA",0,,229,,,,,,2,4,2,1,hotel,Yes,2014,Within an hour,,"June 9, 2017",hotel,,,4,,Long Beach,CA
1003893,Traditional family home at the beach.,33.893516,-118.407725,"Tree Section (Manhattan Beach, CA, USA)",0,,900,900,,,125,,5,8,4,3,house,No,2017,Within a few days,88%,"May 22, 2017",house,,2600,8,,Long Beach,CA
1011790,"Luxury Ocean Front Home, Stunning Amenities And Walking Distance To Pacific City",,,"Huntington Beach, CA, USA",0,,400,400,,,,,30,5,2,2,apartment,Yes,2017,Within a few days,40%,"February 27, 2017",apartment,1,1266,5,building,Long Beach,CA
4075225ha,NEW HeatedPOOL GameRoom WALK 2 Disney,33.812813,-117.935561,"Hermosa Village, Anaheim, CA, USA",0,,,,,,,,4,9,3,2,house,Yes,2013,,,"June 8, 2017",house,,1350,9,,Long Beach,CA
873933,Amazing 1b Condo Near Shopping Paradise,,,"South Coast Metro, CA, USA",0,,147,,,,,,2,3,1,1,apartment,Yes,2016,Within an hour,,"June 8, 2017",apartment,1,,3,,Long Beach,CA
923612,Oceanview And Just Steps Away From The Beach,33.9044184,-118.4192347,"El Porto, Manhattan Beach, CA, USA",0,,225,225,,,150,,14,6,3,2,apartment,Yes,2016,Within a few days,60%,"June 8, 2017",apartment,2,,6,house,Long Beach,CA
4461318ha,Luxury Manhattan Beach Home with Balcony and Great Views,33.8880187,-118.4101243,"Tree Section (Manhattan Beach, CA, USA)",0,,,,,,,,3,8,3,3,house,Yes,2017,Within an hour,,"June 8, 2017",house,,,8,,Long Beach,CA
1011791,"Luxury ocean front home, stunning amenities and walking distance to Pacific City",,,"Huntington Beach, CA, USA",0,,400,400,,,,,30,4,2,2,apartment,Yes,2017,Within a few days,20%,"February 27, 2017",apartment,2,1266,4,building,Long Beach,CA
3781257ha,One Bedroom Beach Cottage On Walk Street With Outdoor Patio & Private Deck,33.897278,-118.41637,"Sand Section, Manhattan Beach, CA, USA",6,,250,275,,,100,,3,4,1,1,cottage,Yes,2014,Within a few hours,100%,"June 7, 2017",cottage,,700,4,,Long Beach,CA
692631,A short bus ride to Disneyland,33.7963861,-117.9137073,"Anaheim Resort, Anaheim, CA, USA",0,,286,,,,,,7,8,3,1,condo,Yes,2015,Within a few days,20%,"April 27, 2017",condo,,,8,building,Long Beach,CA
4552002ha,"Luxury Condos 1 Mile From Disney w/ Resort Pool, Mini Golf & WiFi    - One Bedroom Condo WVR",33.796386,-117.913707,"Anaheim Resort, Anaheim, CA, USA",0,,171,,,,,,1,4,1,1,apartment,Yes,2016,Within an hour,,"June 9, 2017",apartment,,,4,,Long Beach,CA
331083,Adorable Beach Studio~Private and Only 1 mile to Beach/ 2 Bikes,33.66597366,-117.98013306,"Huntington Beach, CA, USA",12,4.7,137,99,,,,4.0%,2,3,Studio,1,studio,Yes,2010,Within a few days,90%,"June 5, 2017",studio,1,400,3,,Long Beach,CA
1042043,"Dolphin's Cove, Walk to Disneyland, Christmas week!",,,"Anaheim Resort, Anaheim, CA, USA",0,,90,,,,,,7,6,2,1,condo,No,2017,,,"June 8, 2017",condo,,,,building,Long Beach,CA
688462,"Walk to Downtown Manhattan Beach shopping , restaurants, bars, pier and beach",33.887113,-118.39925983,"Hill Section, Manhattan Beach, CA, USA",0,,200,,,,,10.0%,30,8,3,3,townhome,Yes,2015,Within a few days,50%,"June 4, 2017",townhome,3,2100,,building,Long Beach,CA
1008392,"Celebrity Designed Private, Spacious 3 Bedroom House Near LAX, Forum",,,"South Los Angeles, Los Angeles, CA, USA",0,,175,175,,,45,14.0%,3,6,3,2,house,No,2017,Within a few hours,100%,"June 2, 2017",house,,,,,Long Beach,CA
822430,2 bedroom 2 bathroom in the Heart of Manhattan Beach,33.8856537,-118.4069945,"Hill Section, Manhattan Beach, CA, USA",0,,238,215,223,,360,,30,4,2,2,condo,Yes,2015,Within 12 hours,100%,"June 8, 2017",condo,1,1100,4,building,Long Beach,CA
1088346,Beautiful Home in Sunny Manhattan Beach,33.8931671,-118.4049404,"Tree Section (Manhattan Beach, CA, USA)",0,,475,475,,,150,9.99%,7,1,5,3,house,Yes,2017,,,"June 6, 2017",house,,3900,,,Long Beach,CA
338914,"Charming Apartment in Spanish Duplex, 1 Block to Beach!",33.90502167,-118.42046356,"El Porto, Manhattan Beach, CA, USA",16,4.8,85,,,,150,,30,2,1,1,house,Yes,2010,Within 12 hours,100%,"May 22, 2017",house,,400,,,Long Beach,CA
1003695,"Postcard, Large, Family Beach Home on Coveted Gas Lamp Street in Manhattan Beach",,,"Gas Lamp Section, Manhattan Beach, CA, USA",0,,817,,,,500,,30,8,4,3,house,No,2006,Within an hour,83%,"June 8, 2017",house,,,,,Long Beach,CA
3885935ha,The Magic Forest House,33.82528,-117.919343,"Anaheim Colony Historic District, Anaheim, CA, USA",0,,447,,,,,,3,11,4,2,house,Yes,2013,,,"June 8, 2017",house,,2000,11,,Long Beach,CA
624684,Perfect Summer Getaway --- Close to All the Fun but Nicely Secluded for Privacy,33.8801283,-118.4039482,"Sand Section, Manhattan Beach, CA, USA",0,,700,700,,,,,30,7,3,2,house,No,2014,Within an hour,100%,"May 14, 2016",house,,,7,,Long Beach,CA
1043520,Huge Manhattan Beach House!,,,"Sand Section, Manhattan Beach, CA, USA",0,,779,,,,250,10.0%,7,6,3,3,house,No,2015,,,"March 30, 2017",house,,,,,Long Beach,CA
4547784ha,"20% OFF OPEN JUNE - Perfect Family House - Walk to Beach, Restaurants, Shops.",33.62957,-117.953287,"Newport Shores, Newport Beach, CA, USA",2,,327,,,,,,3,8,3,2,condo,Yes,2005,Within an hour,,"June 9, 2017",condo,,,8,,Long Beach,CA
421670,"Disney Area Home, Prv. Pool, free WiFi, cable TV",33.873351,-117.949985,"Fullerton, CA, USA",8,,171,200,,,,,3,7,3,1,house,Yes,2012,Within a few days,80%,"February 14, 2017",house,,,7,,Long Beach,CA
3497583ha,"Amazing location with an amazing, newly-remodeled lower unit right on the sand!",33.622853,-117.943913,"Newport Beach, CA, USA",0,,621,,,,,,1,8,3,2,condo,Yes,2006,Within an hour,,"June 8, 2017",condo,1,1186,8,,Long Beach,CA
873941,A 2B Place to Pamper Yourself w Pool View,,,"Platinum Triangle, Anaheim, CA, USA",0,,,,,,,,4,4,2,2,apartment,Yes,2016,Within an hour,,"May 30, 2017",apartment,,,4,,Long Beach,CA
4540955ha,"JUNE SPECIALS - 2 Houses from Beach, Ocean Views, Large Patio, Sleeps 16!",33.618702,-117.937315,"Balboa Peninsula, Newport Beach, CA, USA",0,,722,,,,,,3,16,6,3,house,Yes,2005,Within an hour,,"June 9, 2017",house,,,16,,Long Beach,CA
297632,Luxurous Home on Bayview Steps to the Beach,33.89296341,-118.41506958,"Sand Section, Manhattan Beach, CA, USA",1,,425,,,,,,27,4,2,2,townhome,Yes,2010,Within a few hours,100%,"May 27, 2017",townhome,,2000,4,,Long Beach,CA
3885658ha,The Neverending Story Home,33.820471,-117.92662,"Southwest Anaheim, Anaheim, CA, USA",0,,536,,,,,,3,11,4,3,house,Yes,2013,,,"June 8, 2017",house,,2000,11,,Long Beach,CA
4500544ha,GREAT LOCATION IN EL SEGUNDO!!!!!!!!!!!5 MINUTES TO BEACH!!!!!!!!!!!,33.9234407,-118.39756,"El Segundo, CA, USA",0,,100,105,,,100,,2,2,1,1,apartment,Yes,2017,Within a few hours,100%,"June 6, 2017",apartment,1,600,,building,Long Beach,CA
3957779ha,"Large Balcony with Great Ocean Views, Steps to the Beach with Parking (68400)",33.613759,-117.932559,"Balboa Peninsula, Newport Beach, CA, USA",2,3.5,334,,,,,,2,9,2,2,house,Yes,2008,Within a day,,"June 9, 2017",house,,,9,,Long Beach,CA
